"","tweet_id","airline_sentiment","airline_sentiment_confidence","negativereason","negativereason_confidence","airline","airline_sentiment_gold","name","negativereason_gold","retweet_count","text","tweet_coord","tweet_created","tweet_location","user_timezone"
"2501","-678150143","negative","0","Customer Service Issue","0.7033","Southwest","","Galanthusn","","0","@SouthwestAir could care more about their customer if there is a reasonable request :(","","2015-02-18 17:28:15 -0800","",""
"2502","30859264","negative","1","Cancelled Flight","1","US Airways","","dmorgancu","","0","@USAirways you have most likely lost my business. Terrible experience! Too many times stuck on Tarmac and last min Cancelled Flightled flights. #Done","[35.22447828 -80.93940943]","2015-02-18 17:28:48 -0800","Clemson SC","Central Time (US & Canada)"
"2503","-724119552","negative","1","Late Flight","1","Delta","","rabbilaufer","","0","@JetBlue They told us 10 minutes almost 40 minutes ago.","","2015-02-18 17:30:39 -0800","","Eastern Time (US & Canada)"
"2504","504651777","positive","1","","","United","","TheVeganRD","","0","@united Thanks I will!","","2015-02-18 17:30:57 -0800","Port Townsend WA","Pacific Time (US & Canada)"
"2505","-1718177791","neutral","0","","0","Southwest","","Indyanna63","","0","@SouthwestAir I had to travel to Savannah GA once again on an airline I don't ""Luv"". When r u going to fly me to Savannah? Pleeeease!!!!","","2015-02-18 17:31:28 -0800","",""
"2506","-1885937664","positive","1","","","US Airways","","bryanjholmes","","0","@USAirways on time today and from PHL! Nice work! #ThereIsAFirstForEverything","","2015-02-18 17:33:19 -0800","dublin ohio","Quito"
"2507","567717888","neutral","1","","","US Airways","","bobbyisaacson","","0","@USAirways so what is the  difference between Cancelled Flighting and reFlight Booking Problems - will that help me avoid a change fee?","","2015-02-18 17:34:38 -0800","San Francisco CA","Pacific Time (US & Canada)"
"2508","-447410176","negative","0","Flight Booking Problems","0.3523","Southwest","","Galanthusn","","0","@SouthwestAir have a flight from Oakland to SNA at 7:30 and I asked if I can take 5:30 even there are 5 empty sests. Answer is ""No"". :(","","2015-02-18 17:36:19 -0800","",""
"2509","1779900416","neutral","0","","","Southwest","","alana_aro","","0","@SouthwestAir do you have all winners for @Imaginedragons #DestinationDragons","","2015-02-18 17:38:09 -0800","",""
"2510","-699109376","negative","1","Can't Tell","1","Southwest","","Galanthusn","","0","@SouthwestAir Yes - with extra $77. I wonder what are you going yo loose if there is room.","","2015-02-18 17:38:21 -0800","",""
"2511","1683226624","positive","1","","","US Airways","","LayneHillesland","","0","@USAirways finally rectified my flight situation! Thanks again","","2015-02-18 17:39:45 -0800","",""
"2512","-1273561087","negative","0","Late Flight","0.3336","United","","patrick_maness","","0","@united Please stall flight 1535 out of ORD. I have to get to SNA tonight.","","2015-02-18 17:40:27 -0800","Rhode Island","Eastern Time (US & Canada)"
"2513","-2112413696","negative","0","Late Flight","0.6859","US Airways","","TravisAJB","","0","@USAirways is the real MVP for holding up the flight connecting Philly to Tampa.","","2015-02-18 17:40:41 -0800","","Quito"
"2514","1003945985","negative","1","longlines","0.3363","US Airways","","MendezJenn","","0","@USAirways still waiting! Captain reports he's called 6 times to get ground crew....and still sitting on runway. #evenLate Flightr","","2015-02-18 17:42:01 -0800","",""
"2515","-132710400","negative","0","Flight Booking Problems","0.3366","United","","lorenzosimpson","","0","@united how long will it take for miles that i re-purchased (they had expired) to show up? I recieved an email that the request had been..","","2015-02-18 17:44:05 -0800","","Eastern Time (US & Canada)"
"2516","-388751360","negative","1","Customer Service Issue","1","US Airways","","BokaLaBoca","","0","@USAirways yeah you guys just told me to call the website that I booked from. I booked on your website. UNACCEPTABLE","[0.0 0.0]","2015-02-18 17:45:16 -0800","","Pacific Time (US & Canada)"
"2517","1129746432","negative","0","Customer Service Issue","0.3719","US Airways","","sara_regis19","","0","@USAirways I would be willing to pay anything to change a flight! @AllegiantTravel does not! help!","","2015-02-18 17:46:51 -0800","Puerto Rico ",""
"2518","-673779712","neutral","0","","","United","","georgetietjen","","0","@united @staralliance Very nice at LHR congrats but I'm sticking with AA/#BA. @AmericanAir @British_Airways","","2015-02-18 17:47:25 -0800","",""
"2519","-1768497152","neutral","0","","","Southwest","","bsrubin","","0","@SouthwestAir Looks like 'On February 19 2015 we will open our schedule for sale through October 30 2015' - know what time that will be?","","2015-02-18 17:47:28 -0800","Boston MA","Eastern Time (US & Canada)"
"2520","30863360","neutral","0","","0","United","","HelacoHLC","","0","@united We invite to Fallow @HelacoHLC learn about our activities.Prevention Programs of Health by Condom-Rito Family.We R 501(C)(3)Thanks","","2015-02-18 17:48:46 -0800","EIN: 27-0575748 -New York -USA",""
